,CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latest Happiness Year,LifeSatisfaction
1,2,Albania,Albania,Europe,50.0,30.0,66.6,55.5,49.8,35.6,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70.0,70.0,3.7,23.0,15.0,18.3,30.5,2.8,40.7,-3.5,2.0,14218.0,11.7,1.6,1107.0,76.0,2020,5.365
2,3,Algeria,Algeria,Middle East and North Africa,167.0,13.0,45.8,27.9,29.7,30.1,67.2,57.1,38.6,50.0,51.5,80.1,57.4,30.0,30.0,13.8,35.0,26.0,37.2,37.8,43.9,491.5,-6.0,0.1,11112.0,12.8,2.4,1125.0,53.1,2019,4.745
3,4,Angola,Angola,Sub-Saharan Africa,139.0,29.0,52.6,39.8,25.3,20.6,86.6,86.4,80.0,37.6,53.9,61.2,70.0,30.0,40.0,7.5,25.0,25.0,9.4,21.3,32.9,215.1,-4.0,-1.9,6932.0,7.7,22.3,-1866.0,127.1,2014,3.795
4,5,Argentina,Argentina,Americas,144.0,27.0,50.1,35.1,57.9,45.1,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55.0,60.0,12.2,35.0,25.0,28.6,39.6,45.4,941.8,-10.0,-2.8,20751.0,11.7,42.0,4123.0,103.0,2020,5.901
5,6,Armenia,Armenia,Europe,58.0,34.0,65.3,50.4,33.1,50.8,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75.0,70.0,5.7,22.0,18.0,22.5,26.5,3.0,39.4,-7.6,2.6,13261.0,20.2,1.2,117.0,62.8,2019,5.488
6,7,Australia,Australia,Asia-Pacific,12.0,4.0,77.7,91.7,95.2,87.0,62.5,51.6,52.0,84.6,64.2,83.2,90.0,80.0,90.0,2.5,45.0,30.0,28.7,40.2,25.7,1329.9,-2.4,1.5,51680.0,6.6,0.9,20146.0,63.1,2020,7.137
7,8,Austria,Austria,Europe,22.0,15.0,73.8,98.4,94.6,82.9,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80.0,70.0,2.9,55.0,25.0,42.4,51.6,8.9,491.5,-6.6,0.4,55218.0,5.8,1.4,-17340.0,85.2,2020,7.213
8,9,Azerbaijan,Azerbaijan,Europe,75.0,37.0,61.6,53.6,15.9,28.6,87.7,62.7,99.1,64.6,55.9,74.5,66.6,70.0,60.0,9.2,25.0,20.0,14.3,35.3,10.1,145.8,-4.3,-0.7,14431.0,6.3,2.8,507.0,21.4,2019,5.173
9,11,Bahrain,Bahrain,Middle East and North Africa,74.0,4.0,62.0,65.9,27.4,41.6,99.9,65.5,0.0,60.2,54.9,81.1,83.0,85.0,80.0,6.0,0.0,0.0,3.0,33.9,1.7,73.8,-5.4,1.2,48766.0,4.1,-2.3,1007.0,132.9,2020,6.173
10,12,Bangladesh,Bangladesh,Asia-Pacific,137.0,29.0,52.7,36.3,28.1,22.2,82.6,93.2,54.0,55.6,36.6,70.0,63.8,50.0,40.0,10.6,25.0,32.5,7.7,15.0,164.7,874.0,3.8,6.8,5307.0,5.3,5.6,2564.0,38.9,2020,5.28
11,14,Belarus,Belarus,Europe,135.0,45.0,53.0,34.5,15.5,43.7,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30.0,20.0,4.7,13.0,18.0,13.3,38.0,9.4,189.9,-0.9,0.7,20187.0,5.3,5.5,1397.0,48.0,2019,5.821
12,15,Belgium,Belgium,Europe,37.0,24.0,69.6,92.5,91.2,83.6,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85.0,70.0,2.9,50.0,29.0,42.9,54.8,11.6,588.8,-6.4,0.0,51096.0,6.0,0.4,8437.0,115.0,2020,6.839
13,16,Belize,Belize,Americas,109.0,22.0,56.6,34.7,70.2,38.1,77.0,64.1,37.6,54.0,59.9,82.5,55.6,55.0,50.0,17.2,25.0,25.0,32.4,34.6,0.4,2.5,-14.1,-1.5,6046.0,7.8,0.1,76.0,127.4,2014,5.956
14,17,Benin,Benin,Sub-Saharan Africa,81.0,6.0,61.0,44.3,55.3,40.3,68.4,91.6,83.4,47.7,59.6,80.4,61.4,50.0,50.0,11.8,45.0,30.0,15.4,16.7,12.1,41.7,2.0,4.9,3437.0,2.5,3.0,176.0,45.4,2020,4.408
15,18,Bhutan,Bhutan,Asia-Pacific,94.0,19.0,59.3,67.2,60.9,73.5,82.4,71.6,72.4,62.9,57.2,72.7,40.8,20.0,30.0,22.1,25.0,30.0,15.4,30.7,0.8,9.0,-0.8,4.2,12060.0,3.7,4.2,3.0,120.7,2015,5.082
16,19,Bolivia,Bolivia,Americas,169.0,30.0,43.0,14.1,28.4,28.7,86.0,58.8,10.9,54.7,46.2,72.8,60.8,15.0,40.0,9.6,13.0,25.0,24.7,37.1,11.7,97.8,-7.7,1.4,8344.0,5.6,0.9,-1048.0,67.3,2020,5.559
17,20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,68.0,36.0,63.4,49.2,37.2,33.4,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65.0,60.0,8.1,10.0,10.0,20.1,42.4,3.3,49.3,-5.5,1.5,15047.0,16.9,-0.6,371.0,38.3,2020,5.516
18,21,Botswana,Botswana,Sub-Saharan Africa,61.0,3.0,64.8,74.2,70.1,61.4,87.4,59.8,19.2,56.7,61.6,75.4,77.2,65.0,70.0,6.4,25.0,22.0,12.1,36.6,2.4,39.6,-8.3,1.3,16893.0,17.7,2.0,80.0,20.0,2019,3.471
19,22,Brazil,Brazil,Americas,133.0,26.0,53.3,50.3,57.2,40.0,69.9,53.8,0.4,63.2,55.9,78.4,60.0,60.0,50.0,10.0,27.5,34.0,33.1,39.2,212.6,3153.6,-4.1,-0.6,14916.0,13.7,3.2,24778.0,98.9,2020,6.11
20,23,Bulgaria,Bulgaria,Europe,29.0,20.0,71.0,77.3,61.1,45.6,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60.0,60.0,2.9,10.0,10.0,20.3,36.3,6.9,164.6,-3.8,2.1,23817.0,5.7,1.2,2426.0,23.8,2020,5.598
21,24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,100.0,13.0,58.3,47.0,36.3,41.4,81.8,82.3,66.1,41.9,61.6,75.6,61.0,65.0,40.0,9.5,27.5,28.0,16.8,24.3,20.9,47.3,0.8,5.1,2262.0,5.0,1.9,149.0,44.3,2019,4.741
22,26,Burundi,Burundi,Sub-Saharan Africa,172.0,45.0,39.4,18.8,7.1,12.2,77.1,76.4,10.3,27.5,41.5,70.3,51.0,50.0,30.0,14.5,35.0,30.0,12.9,28.1,11.9,9.0,-1.3,0.4,760.0,0.8,7.3,6.0,69.5,2018,3.775
23,27,Cambodia,Cambodia,Asia-Pacific,106.0,21.0,57.1,41.2,20.9,12.3,88.7,81.5,98.0,55.2,47.8,74.7,64.8,50.0,50.0,10.1,20.0,20.0,18.2,24.8,16.7,73.6,-3.5,5.0,4695.0,0.3,2.9,3625.0,31.6,2020,4.377
24,28,Cameroon,Cameroon,Sub-Saharan Africa,136.0,27.0,52.9,39.1,10.9,19.9,74.7,90.1,78.7,60.4,46.4,79.9,55.2,30.0,50.0,14.9,35.0,33.0,14.6,18.2,26.5,96.8,-2.8,2.7,3646.0,3.6,2.8,488.0,43.2,2020,5.241
25,29,Canada,Canada,Americas,15.0,1.0,76.6,89.5,96.4,86.7,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80.0,80.0,3.4,33.0,15.0,33.5,44.9,38.0,1850.1,-5.4,0.6,48720.0,9.5,0.7,23823.0,117.8,2020,7.025
26,31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,168.0,43.0,45.7,7.1,12.3,18.3,65.3,88.1,95.2,26.5,39.5,75.3,46.2,45.0,30.0,16.9,50.0,30.0,8.6,19.9,4.8,4.7,0.0,3.2,979.0,4.3,2.3,35.0,44.9,2017,3.476
27,32,Chad,Chad,Sub-Saharan Africa,146.0,34.0,49.8,28.9,13.6,13.1,44.6,92.7,96.3,28.2,54.5,74.2,52.0,60.0,40.0,14.0,60.0,45.0,13.3,15.6,16.4,26.5,-0.9,-0.7,1611.0,2.3,3.5,558.0,43.0,2019,4.251
